iter	RMSE
388	187.0099305
389	186.920215
390	186.9008718
391	186.6929223
392	186.5210085
393	186.2644018
394	186.2459247
395	186.1464141
396	185.8294464
397	185.6312704
398	185.2608494
399	184.9042236
400	184.8880497
401	184.582551
402	184.4784603
403	184.345666
404	184.0478979
405	183.8541963
406	183.6444187
407	183.6012242
408	183.2777641
409	183.2597267
410	183.0044695
411	182.7774273
412	182.6304245
413	182.5418529
414	182.4212905
415	182.3055708
416	182.2884435
417	182.0138232
418	181.929776
419	181.6873993
420	181.5921856
421	181.5064943
422	181.2443849
423	181.0305505
424	180.9546878
425	180.8011825
426	180.7090108
427	180.4624919
428	180.1495164
429	180.0717984
430	179.8240636
431	179.6696009
432	179.4506976
433	179.4317917
434	179.149117
435	179.133512
436	178.8747812
437	178.8022746
438	178.5803679
439	178.5048129
440	178.4356358
441	178.331822
442	178.2028169
443	177.9879078
444	177.8612114
445	177.5401508
446	177.2830538
447	177.0815051
448	176.7303082
449	176.7156723
450	176.5182202
451	176.4877404
452	176.4735973
453	176.3725603
454	176.1217307
455	175.8598956
456	175.647175
457	175.5649012
458	175.3396765
459	175.2291684
460	175.1949521
461	175.1807857
462	174.8891585
463	174.7307682
464	174.6725983
465	174.4207059
466	174.1741238
467	174.160366
468	173.8099983
469	173.7380278
470	173.5545348
471	173.3460991
472	173.3327396
473	173.2283518
474	173.0897379
475	172.8696036
476	172.624491
477	172.3463315
478	172.174151
479	172.1567955
480	172.1441947
481	172.1295813
482	171.8527069
483	171.7805217
484	171.6486223
485	171.6326583
486	171.5646525
487	171.3637296
488	171.0618702
489	170.8326791
490	170.8207057
491	170.6148931
492	170.436779
493	170.2338833
494	170.105889
495	170.0943384
496	170.0229968
497	169.8707105
498	169.7072595
499	169.6833494
500	169.5111835
501	169.341547
502	169.2731124
503	169.0962148
504	169.029339
505	168.7754341
506	168.7030082
507	168.5723389
508	168.5095955
509	168.3990037
510	168.2100073
511	168.1990581
512	168.1364207
513	167.8870515
514	167.7378763
515	167.6698606
516	167.4540033
517	167.4377061
518	167.2255959
519	167.1815409
520	166.9609843
521	166.9010522
522	166.8146161
523	166.7071656
524	166.6391382
525	166.4350883
526	166.3176583
527	166.1671278
528	166.0072051
529	165.8763868
530	165.8262155
531	165.6185864
532	165.6028979
533	165.5805347
534	165.3602459
535	165.2349564
536	165.0414105
537	164.8604741
538	164.7057711
539	164.5565755
540	164.5404297
541	164.2904938
542	164.1506814
543	164.1404164
544	164.0570509
545	163.8313099
546	163.7615292
547	163.702746
548	163.6426589
549	163.5843888
550	163.5700451
551	163.424569
552	163.4148052
553	163.1728986
554	163.1174222
555	162.958684
556	162.9494559
557	162.8516001
558	162.7132859
559	162.7055029
560	162.6965365
561	162.529174
562	162.4708383
563	162.3962671
564	162.2739383
565	162.1597489
566	161.9361556
567	161.8284569
568	161.6341496
569	161.466876
570	161.2983935
571	161.1612596
572	161.0351252
573	160.9007102
574	160.7847582
575	160.6562845
576	160.4656731
577	160.4570703
578	160.3058814
579	160.2978091
580	160.1671545
581	160.1601394
582	160.153314
583	160.1048925
584	159.9260032
585	159.7830748
586	159.6058485
587	159.475089
588	159.4670596
589	159.3863002
590	159.2667849
591	159.05013
592	158.8753844
593	158.7505465
594	158.6553789
595	158.5087456
596	158.4187363
597	158.3164984
598	158.1977195
599	158.0922754
600	157.9862574
601	157.8519336
602	157.6375628
603	157.4794399
604	157.3776709
605	157.2421284
606	157.2082639
607	157.2017763
608	157.1452266
609	157.0300316
610	156.7767126
611	156.68201
612	156.5812886
613	156.5107538
614	156.4490162
615	156.358913
616	156.3110324
617	156.1110459
618	156.0031292
619	155.819024
620	155.7481207
621	155.6529123
622	155.4972755
623	155.4366383
624	155.3686706
625	155.3128731
626	155.2478048
627	155.1345431
628	155.0024317
629	154.885666
630	154.8210965
631	154.6568658
632	154.6509205
633	154.6445722
634	154.4676433
635	154.3776515
636	154.3586412
637	154.2736662
638	154.1684871
639	154.0777755
640	153.9541905
641	153.8703534
642	153.7318545
643	153.6454026
644	153.4881406
645	153.4477755
646	153.3267918
647	153.2461776
648	153.167683
649	153.0781368
650	152.9208361
651	152.8733558
652	152.7809731
653	152.7492733
654	152.7429271
655	152.661874
656	152.562785
657	152.4402373
658	152.2280291
659	152.1078349
660	152.102228
661	151.9746926
662	151.8998421
663	151.7680461
664	151.7014308
665	151.5425421
666	151.4840034
667	151.4541406
668	151.2863056
669	151.1658874
670	151.1065859
671	151.101887
672	151.0306045
673	150.9746484
674	150.9074715
675	150.8711684
676	150.7957268
677	150.6308427
678	150.5095313
679	150.4080025
680	150.3133908
681	150.1993443
682	150.0956639
683	150.0327388
684	149.9875077
685	149.8376572
686	149.6647317
687	149.5248558
688	149.42424
689	149.2243647
690	149.0912433
691	149.0058185
692	149.0018513
693	148.9082312
694	148.9032702
695	148.8673839
696	148.8634807
697	148.7635567
698	148.6469821
699	148.5235626
700	148.4176176
701	148.3841375
702	148.2146265
703	147.9898762
704	147.8243203
705	147.6443258
706	147.5212023
707	147.4573564
708	147.4333149
709	147.3169631
710	147.2837554
711	147.2621742
712	147.073944
713	147.0595402
714	147.0523086
715	146.9104626
716	146.887596
717	146.7515031
718	146.6556851
719	146.5375555
720	146.5275899
721	146.4658869
722	146.3092823
723	146.2322405
724	146.1613594
725	146.1082232
726	146.0198478
727	146.015356
728	145.8860046
729	145.869241
730	145.7869804
731	145.7418432
732	145.6717147
733	145.5024754
734	145.4727665
735	145.3411431
736	145.1609989
737	145.0931288
738	144.949273
739	144.7955467
740	144.7375123
741	144.6053516
742	144.4375443
743	144.3591599
744	144.2717806
745	144.1724091
746	144.0162973
747	143.8995559
748	143.8954586
749	143.7268127
750	143.7224343
751	143.6317302
752	143.58498
753	143.5580139
754	143.5083891
755	143.5042806
756	143.3731996
757	143.3693896
758	143.2066765
759	143.1465517
760	143.11979
761	143.0512869
762	142.9567832
763	142.9528759
764	142.9079489
765	142.7848318
766	142.6864142
767	142.6201589
768	142.568814
769	142.3951242
770	142.2371311
771	142.1077549
772	142.0808182
773	141.989758
774	141.8188672
775	141.7936341
776	141.6359569
777	141.5909313
778	141.5650538
779	141.4270927
780	141.3392641
781	141.2246505
782	141.2207637
783	141.2169811
784	141.1019923
785	141.0115031
786	140.7654714
787	140.6636014
788	140.6058068
789	140.5444148
790	140.4396177
791	140.343753
792	140.3172902
793	140.2087319
794	140.2051711
795	140.0824438
796	139.8981368
797	139.8524148
798	139.8488259
799	139.8446718
800	139.6936367
801	139.6635777
802	139.5872357
803	139.51005
804	139.4202323
805	139.3782282
806	139.2165224
807	139.1342442
808	139.069532
809	139.0659025
810	139.033612
811	139.0300686
812	138.965175
813	138.9619253
814	138.8858981
815	138.8643278
816	138.8091686
817	138.5755592
818	138.5334523
819	138.4505609
820	138.4098493
821	138.4055059
822	138.3572113
823	138.303253
824	138.2167189
825	138.2135454
826	138.2099695
827	138.1705905
828	138.1326982
829	138.0813654
830	138.0144398
831	137.8892339
832	137.7982025
833	137.6787504
834	137.5764121
835	137.4929745
836	137.4688295
837	137.4095231
838	137.3371221
839	137.299612
840	137.2965764
841	137.1905551
842	137.0584153
843	136.9055069
844	136.7884541
845	136.7076133
846	136.7045795
847	136.6710434
848	136.6680612
849	136.5784485
850	136.4884431
851	136.399287
852	136.3963865
853	136.3811971
854	136.307913
855	136.3024625
856	136.258401
857	136.2556827
858	136.223702
859	136.2210624
860	136.0977773
861	135.9652795
862	135.8467397
863	135.7742548
864	135.7296635
865	135.6586809
866	135.5740872
867	135.5162933
868	135.4449604
869	135.3577234
870	135.2969283
871	135.2147072
872	135.194968
873	135.1372173
874	135.0588397
875	134.9892892
876	134.9483262
877	134.832439
878	134.7992233
879	134.6795603
880	134.610585
881	134.5201375
882	134.4112041
883	134.3249803
884	134.3223749
885	134.1986366
886	134.113685
887	133.9962237
888	133.9137377
889	133.8403144
890	133.7226997
891	133.6147731
892	133.5604505
893	133.5575433
894	133.4832008
895	133.2804841
896	133.2160733
897	133.1623457
898	133.091538
899	133.0252027
900	132.9894743
901	132.9564593
902	132.9531103
903	132.8740021
904	132.7614475
905	132.7180485
906	132.6097035
907	132.5006245
908	132.4978555
909	132.4721252
910	132.4127458
911	132.3081277
912	132.1935128
913	132.0841076
914	131.9995668
915	131.9350066
916	131.8826957
917	131.8763309
918	131.8051053
919	131.6385803
920	131.6357706
921	131.5735476
922	131.5535624
923	131.4801355
924	131.4176365
925	131.2507863
926	131.2486414
927	131.2148848
928	131.1192124
929	131.0650969
930	131.0359183
931	131.0010912
932	130.8682963
933	130.7922464
934	130.7900976
935	130.7320059
936	130.6359835
937	130.4811896
938	130.4742017
939	130.3539899
940	130.2525188
941	130.2504636
942	130.197739
943	130.1640425
944	130.1101142
945	130.0681982
946	129.9709781
947	129.8831621
948	129.7883291
949	129.7374658
950	129.6646308
951	129.5688396
952	129.5313213
953	129.4774358
954	129.4018712
955	129.3851225
956	129.3034529
957	129.2221855
958	129.1700529
959	129.1575148
960	129.125355
961	129.0256844
962	128.9789768
963	128.9759647
964	128.876728
965	128.834153
966	128.7214546
967	128.6350519
968	128.5906079
969	128.4930651
970	128.4538851
971	128.4190448
972	128.3705419
973	128.3088521
974	128.2589556
975	128.2026162
976	128.185047
977	127.996229
978	127.9519114
979	127.8450813
980	127.8329625
981	127.8102109
982	127.7483013
983	127.6127458
984	127.5177293
985	127.4934143
986	127.389771
987	127.3335624
988	127.2982458
989	127.2887793
990	127.2278661
991	127.1875146
992	127.1426756
993	127.0969605
994	127.0618701
995	126.9975691
996	126.9399486
997	126.9109216
998	126.8458688
999	126.792753
